company_name,cin,csr_total_rank,csr_2011_12,csr_2012_13,csr_2013_14,public
RELIANCE INDUSTRIES LTD.,L17110MH1973PLC019786,1,2510,3510,7120,0
OIL & NATURAL GAS CORPN. LTD.,L74899DL1993GOI054155,2,1210,1256,3413,1
TATA CONSULTANCY SERVICES LTD.,L22210MH1995PLC084781,3,446,716,935.8,0
N T P C LTD.,L40101DL1975GOI007966,4,494.4,692.4,1283.5,1
INFOSYS LTD.,L85110KA1981PLC013115,5,,,,0
I T C LTD.,L16005WB1910PLC001985,6,580,780,1070,0
H D F C BANK LTD.,L65920MH1994PLC080618,7,,390.1,703.7,0
TATA STEEL LTD.,L27100MH1907PLC000260,8,1460,1707.6,2120,0
N M D C LTD.,L13100AP1958GOI001674,9,867.1,723.8,1528.5,1
I C I C I BANK LTD.,L65190GJ1994PLC021012,10,61,80,,0
WIPRO LTD.,L32102KA1945PLC020800,11,,,160,0
AXIS BANK LTD.,L65110GJ1993PLC020769,12,,,,0
BHARAT PETROLEUM CORPN. LTD.,L23220MH1952GOI008931,13,70.5,178.8,343.8,1
STATE BANK OF INDIA,NA,14,711.8,1232.7,1489.3,1
POWER GRID CORPN. OF INDIA LTD.,L40101DL1989GOI038121,15,239.3,217.5,270.5,1
INDIAN OIL CORPN. LTD.,L23201MH1959GOI011388,16,827.3,787.9,819.1,1
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,L70100MH1977PLC019916,17,150,400,600,1
OIL INDIA LTD.,L11101AS1959GOI001148,18,,144.3,728.9,1
HINDUSTAN ZINC LTD.,L27204RJ1966PLC001208,19,,,930,1
HINDUSTAN UNILEVER LTD.,L15140MH1933PLC002030,20,,,,0
LARSEN & TOUBRO LTD.,L99999MH1946PLC004768,21,,731.7,769,0
HINDUSTAN PETROLEUM CORPN. LTD.,L23201MH1952GOI008858,22,265,217.6,109.6,1
R E C LTD.,L40101DL1969GOI005095,23,129.9,141.9,384,1
MAHANADI COALFIELDS LTD.,U10102OR1992GOI003038,24,283.3,255.7,1114.8,1
G A I L (INDIA) LTD.,L40200DL1984GOI018976,25,,557.8,625.7,1
POWER FINANCE CORPN. LTD.,L65910DL1986GOI024862,26,193.7,195.6,,1
MAHINDRA & MAHINDRA LTD.,L65990MH1945PLC004558,27,720,892.2,1211.5,0
MARUTI SUZUKI INDIA LTD.,L34103DL1981PLC011375,28,120.3,189.4,232.8,0
BAJAJ AUTO LTD.,L65993PN2007PLC130076,29,,,,0
SOUTH EASTERN COALFIELDS LTD.,U10102CT1985GOI003161,30,,,,1
CENTRAL COALFIELDS LTD.,U10200JH1956GOI000581,31,,,,1
