id,company_name,cin,rank_csr,public,year,spending_pbt3_pct
1,A C C LTD.,L26940MH1936PLC002515,63,0,2007_08,NA
2,A C C LTD.,L26940MH1936PLC002515,63,0,2008_09,NA
3,A C C LTD.,L26940MH1936PLC002515,63,0,2009_10,NA
4,A C C LTD.,L26940MH1936PLC002515,63,0,2010_11,NA
5,A C C LTD.,L26940MH1936PLC002515,63,0,2011_12,1.18
6,A C C LTD.,L26940MH1936PLC002515,63,0,2012_13,1.65
7,A C C LTD.,L26940MH1936PLC002515,63,0,2013_14,1.78
8,A C C LTD.,L26940MH1936PLC002515,63,0,2014_15,2
9,A C C LTD.,L26940MH1936PLC002515,63,0,2015_16,2.07
10,A C C LTD.,L26940MH1936PLC002515,63,0,2016_17,2.33
11,A C C LTD.,L26940MH1936PLC002515,63,0,2017_18,2.09
12,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2011_12,NA
13,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2012_13,NA
14,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2013_14,NA
15,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2014_15,2.03
16,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2015_16,2
17,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2016_17,2
18,ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,0,2017_18,2
19,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2007_08,NA
20,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2008_09,NA
21,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2009_10,NA
22,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2010_11,NA
23,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2011_12,NA
24,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2012_13,2.48
25,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2013_14,1.8
26,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2014_15,2.01
27,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2015_16,2.02
28,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2016_17,2
29,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2017_18,2
30,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,0,2018_19,2
31,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2007_08,NA
32,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2008_09,NA
33,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2009_10,NA
34,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2010_11,NA
35,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2011_12,NA
36,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2012_13,NA
37,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2013_14,2.12
38,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2014_15,2.37
39,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2015_16,3.99
40,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2016_17,4.24
41,AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,0,2017_18,4.2
42,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2007_08,NA
43,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2008_09,NA
44,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2009_10,NA
45,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2010_11,NA
46,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2011_12,NA
47,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2012_13,0.08
48,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2013_14,0.28
49,ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,0,2014_15,1.27
